epoch,localtime,phase,window,vpdd,charge_now_uah,capacity_hires,suspend_ok,suspend_fail
1786373767,17:56:07,P4-w3v2,3,2000,2238500,92.136,178,1
1786373827,17:57:07,P4-w3v2,3,2000,2237500,92.101,179,1
1786373887,17:58:07,P4-w3v2,3,2000,2237000,92.074,180,1
1786373947,17:59:07,P4-w3v2,3,2000,2236500,92.050,181,1
1786374007,18:00:07,P5-w3v0-short,3,0,2235500,92.027,182,1
1786374068,18:01:08,P5-w3v0-short,3,0,2235000,91.992,183,1
1786374128,18:02:08,P5-w3v0-short,3,0,2234500,91.976,184,1
1786374188,18:03:08,P5-w3v0-short,3,0,2234000,91.953,185,1
1786374248,18:04:08,P5-w3v0-short,3,0,2233500,91.941,186,1
1786374308,18:05:08,P5-w3v0-short,3,0,2233000,91.917,187,1
1786374368,18:06:08,end,34,6000,2232500,91.906,188,1
1786374607,18:10:07,end,34,6000,2231000,91.832,189,1
1786374908,18:15:08,end,34,6000,2229500,91.757,190,1
1786375205,18:20:05,end,34,6000,2259500,93.003,191,1
1786375506,18:25:06,end,34,6000,2292000,95.089,191,1
1786375806,18:30:06,end,34,6000,2317000,98.863,191,1
1786376106,18:35:06,end,34,6000,2337000,100.011,191,1
1786376400,18:40:00,end,34,6000,2353000,100.000,191,1
1786376706,18:45:06,end,34,6000,2367000,100.000,191,1
1786377006,18:50:06,end,34,6000,2378000,100.000,191,1
1786377300,18:55:00,end,34,6000,2387000,100.011,191,1
